id,prices.amountMax,prices.availability,prices.condition,prices.isSale,prices.merchant,brand,dateAdded,primaryCategories,weight,,,,,
AVpfyGvu1cnluZ0-rMw9,62.99,Yes,New,FALSE,Bestbuy.com,MEE audio,2015-07-13T16:11:15Z,Electronics,3.88 oz,,,,,
AVpfyGvu1cnluZ0-rMw9,44.99,Yes,New,FALSE,Bestbuy.com,MEE audio,2015-07-13T16:11:15Z,Electronics,3.88 oz,,,,,
AVpfyGvu1cnluZ0-rMw9,80.74,In Stock,New,FALSE,"OliveElect, LLC",MEE audio,2015-07-13T16:11:15Z,Electronics,3.88 oz,,,,,
AVpfyGvu1cnluZ0-rMw9,49.99,In Stock,New,FALSE,bhphotovideo.com,MEE audio,2015-07-13T16:11:15Z,Electronics,3.88 oz,,,,,
AVpfyGvu1cnluZ0-rMw9,29.99,Yes,New,FALSE,Bestbuy.com,MEE audio,2015-07-13T16:11:15Z,Electronics,3.88 oz,,,,,
AVpfyGvu1cnluZ0-rMw9,59.99,In Stock,New,FALSE,bhphotovideo.com,MEE audio,2015-07-13T16:11:15Z,Electronics,3.88 oz,,,,,
AVpjFAGc1cnluZ0-TWv2,449.99,Yes,New,FALSE,Bestbuy.com,SpeakerCraft,2015-07-13T16:17:47Z,Electronics,5 pounds,,,,,
AVpjFAGc1cnluZ0-TWv2,449.99,TRUE,new,FALSE,Bestbuy.com,SpeakerCraft,2015-07-13T16:17:47Z,Electronics,5 pounds,,,,,
AVpe8ZRY1cnluZ0-aY4H,21.99,Yes,New,FALSE,Bestbuy.com,Peerless,2015-07-13T16:17:19Z,Electronics,150 pounds,,,,,
AVpe8ZRY1cnluZ0-aY4H,32,In Stock,New,FALSE,Beach Audio Inc,Peerless,2015-07-13T16:17:19Z,Electronics,150 pounds,,,,,
AVpe8ZRY1cnluZ0-aY4H,21.99,undefined,new,FALSE,Bestbuy.com,Peerless,2015-07-13T16:17:19Z,Electronics,150 pounds,,,,,
AVpe8ZRY1cnluZ0-aY4H,17.85,In Stock,New,FALSE,bhphotovideo.com,Peerless,2015-07-13T16:17:19Z,Electronics,150 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,46.69,In Stock,New,FALSE,Walmart.com,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,54.86,In Stock,New,TRUE,Walmart.com,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,52.52,In Stock,New,FALSE,Walmart.com,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,55.97,In Stock,New,TRUE,Walmart.com,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,55.31,yes,New,FALSE,gadget-town,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,219.99,In Stock,New,TRUE,HappEshopper,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,69.99,Yes,New,TRUE,Bestbuy.com,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,56.68,Out Of Stock,New,FALSE,Walmart.com,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,54.99,yes,New,FALSE,gadget-town,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,89.99,Yes,New,TRUE,Bestbuy.com,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,77.99,Yes,New,TRUE,Bestbuy.com,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,53.75,yes,New,FALSE,closeoutmartdeals,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,219.99,In Stock,New,TRUE,HappEshopper,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpfLsb-ilAPnD_xWtDE,99.99,Yes,New,FALSE,Bestbuy.com,Kenwood,2015-07-06T12:18:05Z,Electronics,2.2 pounds,,,,,
AVpe8D1nLJeJML43yvxK,139.99,yes,Used,FALSE,kmaacp,Panamax,2015-05-18T14:06:54Z,Electronics,11.79 pounds,,,,,
AVpe8D1nLJeJML43yvxK,353.98,TRUE,new,FALSE,Bestbuy.com,Panamax,2015-05-18T14:06:54Z,Electronics,11.79 pounds,,,,,
AVpf3txeLJeJML43FN82,159.09,In Stock,New,FALSE,AMI Ventures Inc,Microsoft,2015-11-13T12:28:09Z,Electronics,1.1 pounds,,,,,
AVpf3txeLJeJML43FN82,159.99,Yes,New,FALSE,Bestbuy.com,Microsoft,2015-11-13T12:28:09Z,Electronics,1.1 pounds,,,,,
AVpf3txeLJeJML43FN82,137.99,Yes,New,TRUE,Bestbuy.com,Microsoft,2015-11-13T12:28:09Z,Electronics,1.1 pounds,,,,,
AVpf3txeLJeJML43FN82,159.99,In Stock,New,FALSE,Walmart.com,Microsoft,2015-11-13T12:28:09Z,Electronics,1.1 pounds,,,,,
AVpf3txeLJeJML43FN82,159.99,In Stock,New,FALSE,bhphotovideo.com,Microsoft,2015-11-13T12:28:09Z,Electronics,1.1 pounds,,,,,
AVpf3txeLJeJML43FN82,124.19,In Stock,New,FALSE,uShopMall,Microsoft,2015-11-13T12:28:09Z,Electronics,1.1 pounds,,,,,
AVpf3txeLJeJML43FN82,159.99,In Stock,New,TRUE,antonline,Microsoft,2015-11-13T12:28:09Z,Electronics,1.1 pounds,,,,,
AVpf3txeLJeJML43FN82,121.99,Yes,New,TRUE,Bestbuy.com,Microsoft,2015-11-13T12:28:09Z,Electronics,1.1 pounds,,,,,
AWIm0C3TYSSHbkXwx3S6,299.99,TRUE,new,FALSE,Bestbuy.com,Ultimate Ears,2018-03-14T20:42:16Z,Electronics,3.8 pounds,,,,,
AWIm0C3TYSSHbkXwx3S6,208.99,TRUE,new,TRUE,Bestbuy.com,Ultimate Ears,2018-03-14T20:42:16Z,Electronics,3.8 pounds,,,,,
AVpfBGsK1cnluZ0-cEkm,179.98,Yes,New,FALSE,Bestbuy.com,Niles,2015-07-13T16:17:27Z,Electronics,3.0 lbs,,,,,
AVpfBGsK1cnluZ0-cEkm,179.98,undefined,new,FALSE,Bestbuy.com,Niles,2015-07-13T16:17:27Z,Electronics,3.0 lbs,,,,,
AVpfJZfu1cnluZ0-e6h0,229.98,Yes,New,FALSE,Bestbuy.com,SpeakerCraft,2015-07-13T16:17:42Z,Electronics,4 pounds,,,,,
AVpfJZfu1cnluZ0-e6h0,229.98,TRUE,new,FALSE,Bestbuy.com,SpeakerCraft,2015-07-13T16:17:42Z,Electronics,4 pounds,,,,,
AV0A-lHuvKc47QAVflgj,219.99,undefined,new,FALSE,Bestbuy.com,Corsair,2017-07-02T01:46:31Z,Electronics,4 ounces,,,,,
AV0A-lHuvKc47QAVflgj,209.99,undefined,new,TRUE,Bestbuy.com,Corsair,2017-07-02T01:46:31Z,Electronics,4 ounces,,,,,
AV0A-lHuvKc47QAVflgj,179.99,Yes,New,FALSE,Bestbuy.com,Corsair,2017-07-02T01:46:31Z,Electronics,4 ounces,,,,,
AV0A-lHuvKc47QAVflgj,174.99,Yes,New,FALSE,Bestbuy.com,Corsair,2017-07-02T01:46:31Z,Electronics,4 ounces,,,,,
AVpgUFUC1cnluZ0-zve8,25.89,Yes,New,FALSE,Wayfair - Bestbuy.com,DENAQ,2015-01-17T16:18:30Z,Electronics,1.5 pounds,,,,,
AVpgUFUC1cnluZ0-zve8,20.99,Yes,New,FALSE,Bestbuy.com,DENAQ,2015-01-17T16:18:30Z,Electronics,1.5 pounds,,,,,
AVpgUFUC1cnluZ0-zve8,38.99,TRUE,new,FALSE,Wayfair - Walmart.com,DENAQ,2015-01-17T16:18:30Z,Electronics,1.5 pounds,,,,,
AVpgUFUC1cnluZ0-zve8,20.99,TRUE,new,FALSE,Bestbuy.com,DENAQ,2015-01-17T16:18:30Z,Electronics,1.5 pounds,,,,,
AVpgUFUC1cnluZ0-zve8,20.99,Yes,New,TRUE,Wayfair - Bestbuy.com,DENAQ,2015-01-17T16:18:30Z,Electronics,1.5 pounds,,,,,
AVpgUFUC1cnluZ0-zve8,29.99,TRUE,new,FALSE,Wayfair - Walmart.com,DENAQ,2015-01-17T16:18:30Z,Electronics,1.5 pounds,,,,,
AVpfSgKO1cnluZ0-h5Jx,49.95,In Stock,New,FALSE,District Camera,Peak Design,2015-12-03T01:29:10Z,Electronics,5.0 oz,,,,,
AVpfSgKO1cnluZ0-h5Jx,49.95,In Stock,New,FALSE,bhphotovideo.com,Peak Design,2015-12-03T01:29:10Z,Electronics,5.0 oz,,,,,
AVpfSgKO1cnluZ0-h5Jx,39.99,yes,Used,FALSE,goldstar_tech,Peak Design,2015-12-03T01:29:10Z,Electronics,5.0 oz,,,,,
AVpfSgKO1cnluZ0-h5Jx,29.95,In Stock,New,TRUE,bhphotovideo.com,Peak Design,2015-12-03T01:29:10Z,Electronics,5.0 oz,,,,,
